r,p,cmi
6,0.020000,8.201904171155405e-05
6,0.040000,0.009396165433327377
6,0.060000,0.002351790856988679
6,0.070000,0.018091621584434246
6,0.080000,0.025273537391877484
6,0.085000,-0.01697133325767862
6,0.090000,0.01789163929129927
6,0.095000,-0.08151979800165114
6,0.100000,-0.04234952062000092
6,0.105000,-0.043335146467922143
6,0.110000,-0.07351133893354153
6,0.115000,-0.02145477916565405
6,0.120000,-0.0490644570555592
6,0.125000,-0.06576662739914682
6,0.130000,-0.07929870641722574
6,0.140000,-0.06556221393311862
6,0.150000,-0.06520796114950668
6,0.170000,-0.04127357893072525
6,0.200000,-0.02142070685841935
6,0.250000,-0.0031351794352100343
6,0.300000,-0.0001603401165390892
6,0.400000,6.04313304961579e-08
6,0.500000,4.376943252282217e-15
