r,p,cmi
1,0.020000,0.023785600474048915
1,0.040000,0.05079922180598962
1,0.060000,0.06131650304103808
1,0.070000,0.06719171727969916
1,0.080000,0.058385820868104746
1,0.085000,0.07015217987503737
1,0.090000,0.05485727860548214
1,0.095000,0.04605455908811328
1,0.100000,0.04379570407132364
1,0.105000,0.02079615210409891
1,0.110000,0.0432747060117715
1,0.115000,0.01564127342767832
1,0.120000,0.03882614329778595
1,0.125000,0.008260393086632751
1,0.130000,0.01370129645147538
1,0.140000,0.01614738957735203
1,0.150000,0.013876127337153593
1,0.170000,-0.0034326969383148783
1,0.200000,0.0009855183601420912
1,0.250000,0.0002937819604861005
1,0.300000,-4.726249355890033e-05
1,0.400000,8.372622817276465e-08
1,0.500000,1.7763568394002505e-15
2,0.020000,0.01068744477312247
2,0.040000,0.027048972042409553
2,0.060000,0.06276035105888556
2,0.070000,0.08196550861435868
2,0.080000,0.056593172896200486
2,0.085000,0.03267917243487185
2,0.090000,0.051209573912413174
2,0.095000,0.0210361532615791
2,0.100000,0.04053929353439284
2,0.105000,0.025612959717890214
2,0.110000,0.008741564519179332
2,0.115000,0.012189326908902924
2,0.120000,0.01734000031729008
2,0.125000,0.02359716753798648
2,0.130000,0.020635669633341874
2,0.140000,0.002653332814320258
2,0.150000,0.002209354121645269
2,0.170000,-0.0026729463466316546
2,0.200000,6.408966271061444e-05
2,0.250000,-0.00010905883916352366
2,0.300000,1.0698587168448626e-05
2,0.400000,2.872299745604323e-09
2,0.500000,-7.105427357601002e-15
3,0.020000,-0.0005829418515481688
3,0.040000,0.002327862274380372
3,0.060000,0.019332460977969125
3,0.070000,0.03005693077546734
3,0.080000,0.021614530191453915
3,0.085000,0.014048006418931969
3,0.090000,0.018895457441002655
3,0.095000,0.02395905457113654
3,0.100000,0.020237233526394904
3,0.105000,0.00316779449130933
3,0.110000,0.009892167888579266
3,0.115000,0.010979644433249568
3,0.120000,0.003963503802008901
3,0.125000,0.0008198640486922742
3,0.130000,-0.0033840892804135195
3,0.140000,0.005046470252034652
3,0.150000,0.0021456466372104187
3,0.170000,0.00073814178757695
3,0.200000,-0.00045965420862552266
3,0.250000,-5.71060356713815e-06
3,0.300000,-2.1060159190255945e-07
3,0.400000,-5.239233900056206e-10
3,0.500000,-7.105427357601002e-15
1,0.000000,0.0
1,0.005051,0.0014100963560637523
1,0.010101,0.005355017461611463
1,0.015152,0.009955199806432941
1,0.020202,0.010500538037697073
1,0.025253,0.027956329117126782
1,0.030303,0.053944709374166774
1,0.035354,0.06483271884496121
1,0.040404,0.0686446621483101
1,0.045455,0.07966390366108093
1,0.050505,0.0848008825388134
1,0.055556,0.08501290041434571
1,0.060606,0.059088661996301424
1,0.065657,0.07217339058126983
1,0.070707,0.08799828822997258
1,0.075758,0.023939530061666093
1,0.080808,0.044337106246604856
1,0.085859,0.05074146837470738
1,0.090909,0.06681854454512254
1,0.095960,0.04900887827775388
1,0.101010,0.03578137820815056
1,0.106061,0.035620605911115884
1,0.111111,0.02233515100780544
