r,p,cmi,method,L,num_samples,max_bond,seed,elapsed_sec
1,0.050000,0.04762294270183535,exact,6,200,,617,2.411
2,0.050000,0.07377880768697241,exact,10,200,,717,8.106
3,0.050000,0.04124751343768516,exact,14,200,,817,20.405
4,0.050000,0.008462802897717303,exact,18,40,,917,87.020
5,0.050000,0.02491729393810856,bmps,22,120,16,1017,21.003
6,0.050000,0.0052011701303755,bmps,26,120,16,1117,31.391
1,0.110000,0.02902576561426813,exact,6,200,,1217,2.433
2,0.110000,0.01703879643034286,exact,10,200,,1317,8.022
3,0.110000,0.04177922036884135,exact,14,200,,1417,20.006
4,0.110000,0.0194122440776809,exact,18,40,,1517,80.429
5,0.110000,0.03344925176554957,bmps,22,30,32,1617,73.687
6,0.110000,0.07572990050358328,bmps,26,30,32,1717,115.916
1,0.150000,0.005023108484426535,exact,6,200,,1617,2.549
2,0.150000,-0.00502221699839696,exact,10,200,,1717,7.991
3,0.150000,0.005122630331218794,exact,14,200,,1817,19.918
4,0.150000,0.001047903719588383,exact,18,40,,1917,80.341
5,0.150000,-0.009532554583503838,bmps,22,120,16,2017,22.370
6,0.150000,-0.06273216739340803,bmps,26,120,16,2117,33.206
