p,r,L,max_bond,count_chunks,total_samples,cmi_mean,cmi_sem,mean_minus_2sem,z_score,status,source
0.050000,1,6,64,20,5000,0.07867088767301786,0.006611313309940729,0.06544826105313641,11.8994,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.050000,2,10,64,20,5000,0.03621914488131509,0.003948920891583374,0.02832130309814834,9.17191,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.050000,3,14,64,20,5000,0.01650526202843444,0.002724983959496839,0.01105529410944076,6.05701,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.050000,4,18,64,20,5000,0.007042994039012044,0.00166310579821689,0.003716782442578264,4.23484,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.050000,5,22,64,20,5000,0.002015503295661181,0.001354488784826302,-0.0006934742739914232,1.48802,uncertain_positive,outputs/CMI_r1to5_chi64_summary.csv
0.050000,6,26,96,20,5000,0.002018389967027369,0.001499275553777432,-0.0009801611405274948,1.34624,uncertain_positive,outputs/CMI_r6_chi96_summary.csv
0.110000,1,6,64,20,5000,0.02330480202280638,0.0028644374627358,0.01757592709733478,8.13591,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.110000,2,10,64,20,5000,0.02787043920975977,0.002578701764492848,0.02271303568077407,10.8079,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.110000,3,14,64,20,5000,0.01585191753089778,0.003006290102190163,0.009839337326517456,5.27292,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.110000,4,18,64,20,5000,0.01490071549548163,0.002417256250130832,0.01006620299521997,6.16431,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.110000,5,22,64,20,5000,0.009560313435734998,0.003005084581171737,0.003550144273391524,3.18138,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.110000,6,26,96,20,5000,0.005523847946439845,0.003196605086128083,-0.0008693622258163208,1.72804,uncertain_positive,outputs/CMI_r6_chi96_summary.csv
0.150000,1,6,64,20,5000,0.005165826419219442,0.001729607967007074,0.001706610485205294,2.9867,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.150000,2,10,64,20,5000,0.003556231984368018,0.001432207831045905,0.0006918163222762079,2.48304,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.150000,3,14,64,20,5000,0.001118246718142092,0.0007425474378351512,-0.0003668481575282104,1.50596,uncertain_positive,outputs/CMI_r1to5_chi64_summary.csv
0.150000,4,18,64,20,5000,0.004282870860079194,0.0006104297253673934,0.003062011409344407,7.01616,stable_positive,outputs/CMI_r1to5_chi64_summary.csv
0.150000,5,22,64,20,5000,0.0006963262176492407,0.000532979616788344,-0.0003696330159274473,1.30648,uncertain_positive,outputs/CMI_r1to5_chi64_summary.csv
0.150000,6,26,256,500,5000,0.001241025210418241,0.0004257069900252226,0.0003896112303677958,2.91521,stable_positive,outputs/CMI_r6_p015_chi256_verify_summary.csv
