p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec
0.050000,1,6,17,250,17002626,exact,,0.08447367200518954,39.851
0.050000,1,6,13,250,13002626,exact,,0.1121576686152537,42.047
0.050000,1,6,18,250,18002626,exact,,0.05539870225727334,42.853
0.050000,1,6,8,250,8002626,exact,,0.07370405115754605,43.845
0.050000,1,6,4,250,4002626,exact,,0.04867438750136101,43.848
0.050000,1,6,10,250,10002626,exact,,0.06152535567073442,44.944
0.050000,1,6,9,250,9002626,exact,,0.08297577428412664,44.960
0.050000,1,6,3,250,3002626,exact,,0.1016721424120129,45.953
0.050000,1,6,19,250,19002626,exact,,0.07587535320284945,46.060
0.050000,1,6,11,250,11002626,exact,,0.05975827614636996,46.363
0.050000,1,6,7,250,7002626,exact,,0.1378640099557632,47.852
0.050000,1,6,14,250,14002626,exact,,0.09266059772741554,48.160
0.050000,1,6,1,250,1002626,exact,,0.03745330194057345,49.556
0.050000,1,6,2,250,2002626,exact,,0.1328554782790551,49.761
0.050000,1,6,5,250,5002626,exact,,0.08055999672124545,49.955
0.050000,1,6,15,250,15002626,exact,,0.09540911423443917,50.662
0.050000,1,6,16,250,16002626,exact,,0.03131931519372007,51.443
0.050000,1,6,12,250,12002626,exact,,0.04267349868739467,54.750
0.050000,1,6,0,250,2626,exact,,0.06611204894206399,55.557
0.050000,1,6,6,250,6002626,exact,,0.1002950085259698,60.563
0.050000,2,10,16,250,16002726,exact,,0.04197471040988332,121.244
0.050000,2,10,12,250,12002726,exact,,0.03023000563941177,135.246
0.050000,2,10,13,250,13002726,exact,,0.02517261376850197,137.456
0.050000,2,10,9,250,9002726,exact,,0.01462144330615515,138.255
0.050000,2,10,17,250,17002726,exact,,0.02361309925326045,138.446
0.050000,2,10,3,250,3002726,exact,,0.02582777846386834,139.051
0.050000,2,10,8,250,8002726,exact,,0.08110902336673298,143.547
0.050000,2,10,2,250,2002726,exact,,0.04116578018278561,159.644
0.050000,2,10,10,250,10002726,exact,,0.03381678480597716,165.754
0.050000,2,10,7,250,7002726,exact,,0.05766250525193974,167.149
0.050000,2,10,14,250,14002726,exact,,0.03311065524369732,167.350
0.050000,2,10,5,250,5002726,exact,,0.05713288199316083,169.244
0.050000,2,10,19,250,19002726,exact,,0.01743787153475381,171.041
0.110000,1,6,1,250,1003226,exact,,0.0331090147242111,34.296
0.050000,2,10,1,250,1002726,exact,,0.05703600180906142,174.945
0.110000,1,6,0,250,3226,exact,,0.01488360190766925,36.602
0.050000,2,10,15,250,15002726,exact,,0.01070533501387327,176.652
0.050000,2,10,0,250,2726,exact,,0.05337735202759497,179.659
0.110000,1,6,2,250,2003226,exact,,0.02044416677039214,37.000
0.050000,2,10,6,250,6002726,exact,,0.01921754175565279,180.647
0.050000,2,10,11,250,11002726,exact,,0.03517992142487271,186.044
0.050000,2,10,18,250,18002726,exact,,0.0311548890516635,190.643
0.050000,2,10,4,250,4002726,exact,,0.03483670332347943,191.149
0.110000,1,6,4,250,4003226,exact,,0.02538566525580811,34.593
0.110000,1,6,9,250,9003226,exact,,0.03517959805953738,33.598
0.110000,1,6,11,250,11003226,exact,,0.0251958940211764,35.009
0.110000,1,6,5,250,5003226,exact,,0.03043243614149086,47.197
0.110000,1,6,14,250,14003226,exact,,0.0262989510248661,36.594
0.110000,1,6,3,250,3003226,exact,,0.01781334969820816,59.506
0.110000,1,6,13,250,13003226,exact,,0.005575721160729735,39.792
0.110000,1,6,6,250,6003226,exact,,0.02547825660187636,55.399
0.110000,1,6,10,250,10003226,exact,,0.04221618405780341,50.397
0.110000,1,6,7,250,7003226,exact,,0.02388507190271054,56.402
0.110000,1,6,8,250,8003226,exact,,0.0473804324632303,54.902
0.110000,1,6,12,250,12003226,exact,,0.009213449169263402,59.491
0.110000,1,6,16,250,16003226,exact,,-0.01174425807094902,50.998
0.110000,1,6,15,250,15003226,exact,,0.02678888874523072,58.101
0.110000,1,6,17,250,17003226,exact,,0.02495254568767814,51.009
0.110000,1,6,18,250,18003226,exact,,0.02244210231479546,53.009
0.110000,1,6,19,250,19003226,exact,,0.02116496882039902,44.495
0.110000,2,10,0,250,3326,exact,,0.03623977051558559,132.707
0.110000,2,10,3,250,3003326,exact,,0.03925661051560423,123.703
0.110000,2,10,5,250,5003326,exact,,0.03371006516186168,123.500
0.110000,2,10,1,250,1003326,exact,,0.01294186561160296,141.588
0.110000,2,10,11,250,11003326,exact,,0.03097353341925324,161.486
0.110000,2,10,8,250,8003326,exact,,0.02776322472536064,174.201
0.110000,2,10,9,250,9003326,exact,,0.03400294035141061,175.506
0.110000,2,10,2,250,2003326,exact,,0.04652441367918512,189.196
0.110000,2,10,13,250,13003326,exact,,0.03776120581112011,163.095
0.110000,2,10,4,250,4003326,exact,,0.03236273521909996,187.692
0.110000,2,10,7,250,7003326,exact,,0.03260612220483435,183.802
0.110000,2,10,12,250,12003326,exact,,0.03319451914954497,174.993
0.110000,2,10,6,250,6003326,exact,,0.0143385635432111,193.005
0.110000,2,10,14,250,14003326,exact,,0.007915856924935832,177.990
0.110000,2,10,15,250,15003326,exact,,0.02606990431453728,181.106
0.110000,2,10,10,250,10003326,exact,,0.01865188167091748,193.301
0.050000,4,18,17,250,17002926,bmps,16,-0.0005042234914036499,456.243
0.050000,4,18,12,250,12002926,bmps,16,-0.01215810001708401,465.137
0.110000,2,10,16,250,16003326,exact,,0.0394077710894146,131.793
0.050000,4,18,15,250,15002926,bmps,16,0.004363063756444771,474.834
0.050000,4,18,14,250,14002926,bmps,16,0.03232696758257832,475.237
0.110000,2,10,18,250,18003326,exact,,0.00190532313823271,133.991
0.050000,4,18,1,250,1002926,bmps,16,0.007059371502577219,477.742
0.050000,4,18,16,250,16002926,bmps,16,0.00420829723850531,478.738
0.110000,2,10,17,250,17003326,exact,,0.02260635704130686,140.895
0.050000,4,18,19,250,19002926,bmps,16,0.005031431434275532,482.138
0.050000,4,18,6,250,6002926,bmps,16,-0.003543217968585186,484.537
0.050000,4,18,18,250,18002926,bmps,16,0.0105182139515473,485.234
0.050000,4,18,8,250,8002926,bmps,16,0.001650311105864934,487.640
0.050000,4,18,10,250,10002926,bmps,16,0.011640624605006,487.835
0.050000,4,18,4,250,4002926,bmps,16,-0.002612341374121615,488.341
0.050000,4,18,5,250,5002926,bmps,16,0.006318271490388073,491.645
0.110000,2,10,19,250,19003326,exact,,0.02917612010817582,142.398
0.050000,4,18,0,250,2926,bmps,16,0.01752143642688688,494.147
0.050000,4,18,3,250,3002926,bmps,16,0.006460313491900011,496.538
0.050000,4,18,11,250,11002926,bmps,16,-0.002624894152471057,497.739
0.050000,4,18,9,250,9002926,bmps,16,0.005567840536580927,509.645
0.050000,4,18,13,250,13002926,bmps,16,0.008237918284079413,511.744
0.050000,4,18,2,250,2002926,bmps,16,-0.02977606024686841,519.646
0.050000,4,18,7,250,7002926,bmps,16,0.009199869100706807,528.946
0.050000,5,22,14,250,14003026,bmps,16,-0.009287331067440419,609.633
0.050000,5,22,10,250,10003026,bmps,16,0.008733947183751846,620.136
0.050000,5,22,15,250,15003026,bmps,16,0.005100731258856826,628.238
0.050000,5,22,16,250,16003026,bmps,16,0.005241584215695497,616.496
0.050000,5,22,19,250,19003026,bmps,16,0.009540881581122875,615.711
0.050000,5,22,0,250,3026,bmps,16,-0.004954635979861917,783.135
0.050000,5,22,2,250,2003026,bmps,16,-0.008381791687005886,794.638
0.050000,5,22,1,250,1003026,bmps,16,-0.006173216417154327,797.335
0.050000,5,22,8,250,8003026,bmps,16,0.008943416940531333,820.938
0.050000,5,22,7,250,7003026,bmps,16,0.01513068368931122,821.541
0.050000,5,22,13,250,13003026,bmps,16,-0.01790892150673011,821.636
0.050000,5,22,11,250,11003026,bmps,16,0.006446105251483709,821.831
0.050000,5,22,18,250,18003026,bmps,16,-0.004220224470493761,779.201
0.050000,5,22,6,250,6003026,bmps,16,-0.02764502765822614,822.344
0.050000,5,22,5,250,5003026,bmps,16,-0.01820627883988842,824.641
0.050000,5,22,9,250,9003026,bmps,16,-0.01259416459761425,824.841
0.050000,5,22,12,250,12003026,bmps,16,0.01705926018697023,829.532
0.050000,5,22,4,250,4003026,bmps,16,-0.003351050226972802,831.244
0.050000,5,22,17,250,17003026,bmps,16,-0.01481640594193322,792.306
0.050000,5,22,3,250,3003026,bmps,16,0.01071875120337357,835.035
0.110000,4,18,8,250,8003526,bmps,16,0.02014488729806033,380.229
0.110000,4,18,0,250,3526,bmps,16,0.02719790048302585,426.209
0.050000,6,26,0,250,3126,bmps,16,0.003202455312736153,879.812
0.050000,6,26,6,250,6003126,bmps,16,0.02199099399429374,906.499
