p,r,count_chunks,total_samples,cmi_mean,cmi_std,cmi_sem
0.050000,1,20,5000,0.07867088767301786,0.02956669196315322,0.006611313309940731
0.050000,2,20,5000,0.03621914488131633,0.01766011110269909,0.003948920891583394
0.050000,3,20,5000,0.0165052620284347,0.01218649874206298,0.002724983959496849
0.050000,4,20,5000,0.003944254662840378,0.01198191930964946,0.002679238607729353
0.050000,5,20,5000,-0.002031184344111207,0.01243395723364731,0.002780317360376061
0.050000,6,20,5000,0.001456518673113771,0.01549894756811951,0.003465670034202027
0.110000,1,20,5000,0.02330480202280638,0.01281015376794855,0.002864437462735802
0.110000,2,20,5000,0.02787043920975975,0.01153230487820924,0.002578701764492829
0.110000,3,20,5000,0.01585191753089786,0.01344453805716405,0.003006290102190176
0.110000,4,20,5000,0.00301862971163897,0.01701365580263422,0.003804369092047385
0.110000,5,20,5000,-0.01715485829771498,0.0281552417267799,0.006295703442401841
0.110000,6,20,5000,-0.03834225396378364,0.03109275695974586,0.006952551816987143
0.150000,1,20,5000,0.005165826419219447,0.007735041977306072,0.001729607967007076
0.150000,2,20,5000,0.00355623198436807,0.006405028136252345,0.001432207831045903
0.150000,3,20,5000,0.001118246718142146,0.003320773095035409,0.0007425474378351543
0.150000,4,20,5000,-0.004043459870930494,0.005520380959725959,0.001234394708764277
0.150000,5,20,5000,-0.02474821025688083,0.009596214221424013,0.002145778732575431
0.150000,6,20,5000,-0.0499961733780538,0.01199517680862149,0.002682203074620663
