p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec,attempts
0.110000,6,26,3,50,3003726,bmps,32,-0.01328388032139287,82.975,1
0.110000,6,26,0,50,3726,bmps,32,-0.07080898548877239,90.671,1
0.050000,6,26,3,50,3003126,bmps,32,0.02005552272501291,98.463,1
0.050000,6,26,2,50,2003126,bmps,32,0.004588484704178625,99.006,1
0.110000,6,26,2,50,2003726,bmps,32,0.01128212839431796,99.691,1
0.150000,6,26,3,50,3004126,bmps,32,-0.01710100650008457,101.467,1
0.050000,6,26,0,50,3126,bmps,32,0.02588033940492011,102.026,1
0.050000,6,26,1,50,1003126,bmps,32,0.01201703386861254,102.647,1
0.110000,6,26,1,50,1003726,bmps,32,0.06986328282079142,102.665,1
0.150000,6,26,1,50,1004126,bmps,32,-0.01626594860080274,102.772,1
0.150000,6,26,0,50,4126,bmps,32,-0.02713647327544749,102.974,1
0.150000,6,26,2,50,2004126,bmps,32,-0.01403524934708599,103.315,1
0.050000,10,42,2,50,2003526,bmps,32,0.0003198126945408812,201.073,1
0.050000,10,42,1,50,1003526,bmps,32,-0.1174401164352199,201.321,1
0.050000,10,42,0,50,3526,bmps,32,-0.09937207041935042,201.471,1
0.050000,10,42,3,50,3003526,bmps,32,-0.1398188464183744,202.288,1
0.110000,10,42,3,50,3004126,bmps,32,0.2750621559189773,205.755,1
0.150000,10,42,1,50,1004526,bmps,32,-0.06832188699652875,205.952,1
0.110000,10,42,0,50,4126,bmps,32,-0.3345573143731879,206.380,1
0.110000,10,42,1,50,1004126,bmps,32,-0.06979899642957678,206.905,1
0.150000,10,42,3,50,3004526,bmps,32,-0.1204680590582905,208.307,1
0.110000,10,42,2,50,2004126,bmps,32,-0.08288945834422444,209.655,1
0.150000,10,42,2,50,2004526,bmps,32,-0.09851883201763939,209.989,1
0.150000,10,42,0,50,4526,bmps,32,-0.07429236735841301,211.637,1
0.050000,14,58,3,50,3003926,bmps,32,-0.1691332533433311,359.870,1
0.050000,14,58,1,50,1003926,bmps,32,0.04223043361493476,362.030,1
0.050000,14,58,0,50,3926,bmps,32,-0.04124543765533872,362.352,1
0.050000,14,58,2,50,2003926,bmps,32,0.02037881841809394,362.775,1
0.110000,14,58,2,50,2004526,bmps,32,0.09471234554509962,370.956,1
0.110000,14,58,0,50,4526,bmps,32,0.04368480769333324,372.143,1
0.110000,14,58,1,50,1004526,bmps,32,-0.1978346762505131,372.530,1
0.110000,14,58,3,50,3004526,bmps,32,0.04715305982718767,375.397,1
0.150000,14,58,1,50,1004926,bmps,32,-0.2928885726219324,378.067,1
0.150000,14,58,0,50,4926,bmps,32,-0.1740591953960302,378.295,1
0.150000,14,58,3,50,3004926,bmps,32,-0.1166921101078083,379.212,1
0.150000,14,58,2,50,2004926,bmps,32,-0.0844483012988826,379.436,1
