p,r,L,max_bond,num_samples,seed,cmi,elapsed_sec
0.110000,5,22,16,500,3642,-0.00814832721145848,90.883
0.110000,5,22,32,500,3658,0.003636967521665127,305.601
0.110000,5,22,64,500,3690,0.01926475501045005,1111.050
0.110000,6,26,16,500,3742,-0.04956613523853623,134.588
0.110000,6,26,32,500,3758,0.00583754808617158,466.925
0.110000,6,26,64,500,3790,0.02364252803354413,1801.230
0.150000,5,22,16,500,4042,-0.03738190671426119,92.728
0.150000,5,22,32,500,4058,-0.005070381528363839,304.983
0.150000,5,22,64,500,4090,-0.0005523859808772045,1128.940
0.150000,6,26,16,500,4142,-0.04094287488387363,136.792
0.150000,6,26,32,500,4158,-0.02441251765733739,475.560
0.150000,6,26,64,500,4190,-0.004911476338589381,1822.293
