p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec,attempts
0.050000,6,26,1,200,1003126,bmps,32,0.003673087117920663,475.045,1
0.110000,6,26,9,200,9003726,bmps,32,0.01937667184688829,477.556,1
0.050000,6,26,7,200,7003126,bmps,32,0.003820980621519075,500.541,1
0.050000,6,26,8,200,8003126,bmps,32,-0.01045490702803416,508.058,1
0.110000,6,26,4,200,4003726,bmps,32,0.0126564806480949,509.862,1
0.110000,6,26,8,200,8003726,bmps,32,0.03918180817630869,512.542,1
0.110000,6,26,6,200,6003726,bmps,32,-0.02152150917640967,518.137,1
0.050000,6,26,3,200,3003126,bmps,32,0.005387767916594939,525.655,1
0.110000,6,26,0,200,3726,bmps,32,-0.01117626244897973,528.949,1
0.050000,6,26,5,200,5003126,bmps,32,-0.01448592306248938,529.449,1
0.050000,6,26,2,200,2003126,bmps,32,0.001435103437856391,530.569,1
0.150000,6,26,0,200,4126,bmps,32,-0.01396163605232275,532.027,1
0.110000,6,26,1,200,1003726,bmps,32,0.006577458378837022,532.756,1
0.110000,6,26,7,200,7003726,bmps,32,-0.04898757860743111,534.131,1
0.050000,6,26,4,200,4003126,bmps,32,0.00852893747543295,534.259,1
0.050000,6,26,9,200,9003126,bmps,32,0.01268896689478229,535.028,1
0.050000,6,26,0,200,3126,bmps,32,0.009260692404714482,535.438,1
0.050000,6,26,6,200,6003126,bmps,32,0.01711188409950004,542.454,1
0.110000,6,26,2,200,2003726,bmps,32,0.0151486267045419,547.347,1
0.110000,6,26,5,200,5003726,bmps,32,-0.002112649968360933,547.841,1
0.110000,6,26,3,200,3003726,bmps,32,-0.02272928263908915,553.632,1
0.150000,6,26,3,200,3004126,bmps,32,-0.01516820212567154,573.942,1
0.150000,6,26,4,200,4004126,bmps,32,-0.02999563915697458,487.711,1
0.150000,6,26,5,200,5004126,bmps,32,-0.02052779010381457,487.666,1
0.150000,6,26,6,200,6004126,bmps,32,-0.01962864370676115,489.315,1
0.150000,6,26,7,200,7004126,bmps,32,-0.01140235566444495,491.074,1
0.150000,6,26,8,200,8004126,bmps,32,-0.01488819690596941,496.963,1
0.150000,6,26,9,200,9004126,bmps,32,-0.0295466884876442,507.608,1
0.150000,6,26,1,200,1004126,bmps,32,-0.01664087162666981,1083.552,1
0.150000,6,26,2,200,2004126,bmps,32,-0.0197273869610698,1102.759,1
0.050000,10,42,8,200,8003526,bmps,32,-0.03139231581545809,1516.155,1
0.050000,10,42,1,200,1003526,bmps,32,-0.008028336787892125,1526.155,1
0.050000,10,42,6,200,6003526,bmps,32,-0.0191573853279731,1534.154,1
0.050000,10,42,0,200,3526,bmps,32,-0.01241125100855349,1538.232,1
0.050000,10,42,4,200,4003526,bmps,32,0.01405797088381294,1548.154,1
0.110000,10,42,5,200,5004126,bmps,32,-0.1936617302865757,1548.534,1
0.050000,10,42,7,200,7003526,bmps,32,0.01627782461388385,1551.363,1
0.110000,10,42,3,200,3004126,bmps,32,0.00788127450109693,1554.560,1
0.110000,10,42,2,200,2004126,bmps,32,-0.1473018135803928,1558.028,1
0.050000,10,42,5,200,5003526,bmps,32,-0.004888486762080139,1570.868,1
0.050000,10,42,9,200,9003526,bmps,32,0.00517965509922081,1574.162,1
0.050000,10,42,2,200,2003526,bmps,32,-0.0009972687885904062,1576.125,1
0.110000,10,42,7,200,7004126,bmps,32,-0.06255594216666509,1580.133,1
0.110000,10,42,1,200,1004126,bmps,32,0.04832866618109651,1580.437,1
0.110000,10,42,4,200,4004126,bmps,32,-0.1405968913929148,1598.421,1
0.110000,10,42,6,200,6004126,bmps,32,-0.1208996067207262,1599.164,1
0.110000,10,42,9,200,9004126,bmps,32,-0.03385439079753935,1611.443,1
0.150000,10,42,2,200,2004526,bmps,32,-0.08738860900135194,1385.875,1
0.150000,10,42,5,200,5004526,bmps,32,-0.1083141848692563,1385.808,1
0.150000,10,42,7,200,7004526,bmps,32,-0.135967710687583,1385.049,1
0.150000,10,42,4,200,4004526,bmps,32,-0.1048442655451069,1389.790,1
0.150000,10,42,6,200,6004526,bmps,32,-0.1016093526457772,1397.619,1
0.150000,10,42,0,200,4526,bmps,32,-0.09112417407434918,1420.110,1
0.150000,10,42,1,200,1004526,bmps,32,-0.09258776396384377,1412.826,1
0.150000,10,42,3,200,3004526,bmps,32,-0.1074555768955219,1410.202,1
0.150000,10,42,9,200,9004526,bmps,32,-0.1304416846584506,1405.818,1
0.150000,10,42,8,200,8004526,bmps,32,-0.1127939008566241,1408.805,1
0.050000,10,42,3,200,3003526,bmps,32,-0.04944115196931435,2155.962,1
0.110000,10,42,0,200,4126,bmps,32,-0.07945125643025636,2181.136,1
0.110000,10,42,8,200,8004126,bmps,32,0.01457813487493315,2423.528,1
0.050000,14,58,6,200,6003926,bmps,32,-0.005249542400756558,2448.032,1
0.050000,14,58,8,200,8003926,bmps,32,0.008697120327217901,2452.451,1
0.050000,14,58,1,200,1003926,bmps,32,0.04464952449504753,2453.529,1
0.050000,14,58,3,200,3003926,bmps,32,-0.06392790549060628,2463.231,1
0.050000,14,58,4,200,4003926,bmps,32,-0.0004938423669984378,2482.248,1
0.050000,14,58,9,200,9003926,bmps,32,0.02426074471287008,2482.638,1
0.050000,14,58,2,200,2003926,bmps,32,0.04010264316153329,2492.623,1
0.110000,14,58,0,200,4526,bmps,32,-0.04297015921500182,2492.820,1
0.050000,14,58,0,200,3926,bmps,32,-0.02074054536459506,2493.826,1
0.050000,14,58,7,200,7003926,bmps,32,-0.01213787889614421,2494.127,1
0.110000,14,58,1,200,1004526,bmps,32,-0.1528027955352495,2516.982,1
0.110000,14,58,3,200,3004526,bmps,32,0.09341857797094152,2519.585,1
0.110000,14,58,4,200,4004526,bmps,32,-0.2674610969621015,2525.942,1
0.110000,14,58,7,200,7004526,bmps,32,-0.08383218051241603,2536.467,1
0.110000,14,58,5,200,5004526,bmps,32,-0.08271770856782663,2537.330,1
0.110000,14,58,6,200,6004526,bmps,32,-0.1798775210891222,2537.455,1
0.110000,14,58,9,200,9004526,bmps,32,-0.3220992281289203,2538.314,1
0.150000,14,58,1,200,1004926,bmps,32,-0.1936860751411308,2178.288,1
0.150000,14,58,0,200,4926,bmps,32,-0.1844706436987923,2188.508,1
0.150000,14,58,3,200,3004926,bmps,32,-0.1018976296120085,2190.083,1
0.150000,14,58,2,200,2004926,bmps,32,-0.1244465928973419,2196.512,1
0.150000,14,58,5,200,5004926,bmps,32,-0.1670904529869864,2170.333,1
0.150000,14,58,4,200,4004926,bmps,32,-0.1607367321747442,2191.440,1
0.150000,14,58,7,200,7004926,bmps,32,-0.1552464952319536,1920.514,1
0.150000,14,58,6,200,6004926,bmps,32,-0.1195019399706212,1924.443,1
0.150000,14,58,9,200,9004926,bmps,32,-0.2001583052752857,1903.129,1
0.150000,14,58,8,200,8004926,bmps,32,-0.1571059434222684,1912.759,1
0.050000,14,58,5,200,5003926,bmps,32,-0.04087016958680061,2906.529,1
0.110000,14,58,8,200,8004526,bmps,32,-0.1249433780828239,3035.630,1
0.110000,14,58,2,200,2004526,bmps,32,-0.178290832986015,3065.777,1
