p,r,L,chunk_id,chunk_samples,seed,method,max_bond,cmi,elapsed_sec,attempts
0.110000,6,26,6,200,6003726,bmps,32,-0.02152150917640967,493.389,1
0.110000,6,26,3,200,3003726,bmps,32,-0.02272928263908915,520.213,1
0.110000,6,26,9,200,9003726,bmps,32,0.01937667184688829,522.605,1
0.110000,6,26,4,200,4003726,bmps,32,0.0126564806480949,552.814,1
0.150000,6,26,3,200,3004126,bmps,32,-0.01516820212567154,568.911,1
0.150000,6,26,1,200,1004126,bmps,32,-0.01664087162666981,612.717,1
0.050000,6,26,3,200,3003126,bmps,32,0.005387767916594939,661.204,1
0.110000,6,26,1,200,1003726,bmps,32,0.006577458378837022,697.416,1
0.110000,6,26,7,200,7003726,bmps,32,-0.04898757860743111,706.685,1
0.110000,6,26,2,200,2003726,bmps,32,0.0151486267045419,730.090,1
0.050000,6,26,4,200,4003126,bmps,32,0.00852893747543295,795.305,1
0.050000,6,26,5,200,5003126,bmps,32,-0.01448592306248938,797.293,1
0.050000,6,26,7,200,7003126,bmps,32,0.003820980621519075,800.112,1
0.050000,6,26,0,200,3126,bmps,32,0.009260692404714482,800.792,1
0.050000,6,26,9,200,9003126,bmps,32,0.01268896689478229,835.697,1
0.050000,6,26,6,200,6003126,bmps,32,0.01711188409950004,836.301,1
0.050000,6,26,2,200,2003126,bmps,32,0.001435103437856391,839.403,1
0.050000,6,26,8,200,8003126,bmps,32,-0.01045490702803416,853.490,1
0.110000,6,26,5,200,5003726,bmps,32,-0.002112649968360933,876.917,1
0.110000,6,26,0,200,3726,bmps,32,-0.01117626244897973,882.283,1
0.150000,6,26,2,200,2004126,bmps,32,-0.0197273869610698,899.382,1
0.110000,6,26,8,200,8003726,bmps,32,0.03918180817630869,938.303,1
0.150000,6,26,4,200,4004126,bmps,32,-0.02999563915697458,489.702,1
0.150000,6,26,6,200,6004126,bmps,32,-0.01962864370676115,477.588,1
0.150000,6,26,5,200,5004126,bmps,32,-0.02052779010381457,480.206,1
0.150000,6,26,7,200,7004126,bmps,32,-0.01140235566444495,488.189,1
0.050000,6,26,1,200,1003126,bmps,32,0.003673087117920663,1045.701,1
0.150000,6,26,8,200,8004126,bmps,32,-0.01488819690596941,481.886,1
0.150000,6,26,0,200,4126,bmps,32,-0.01396163605232275,1090.201,1
0.150000,6,26,9,200,9004126,bmps,32,-0.0295466884876442,488.394,1
0.110000,8,34,1,200,1003926,bmps,32,-0.07965860085125559,1186.415,1
0.110000,10,42,3,200,3004126,bmps,32,0.00788127450109693,1535.788,1
0.050000,8,34,8,200,8003326,bmps,32,0.01184770484367031,1557.107,1
0.050000,8,34,4,200,4003326,bmps,32,-0.01930194207334146,1566.408,1
0.050000,8,34,7,200,7003326,bmps,32,-0.004813890198353253,1566.423,1
0.150000,8,34,0,200,4326,bmps,32,-0.05874816833200825,910.095,1
0.050000,8,34,6,200,6003326,bmps,32,0.003889459110646243,1578.899,1
0.050000,8,34,0,200,3326,bmps,32,0.002486525232403065,1585.889,1
0.050000,8,34,1,200,1003326,bmps,32,0.005604387650112374,1587.535,1
0.050000,8,34,9,200,9003326,bmps,32,-0.00325852445814868,1587.984,1
0.050000,8,34,2,200,2003326,bmps,32,0.01184357656577778,1589.795,1
0.110000,8,34,6,200,6003926,bmps,32,0.01974208468440534,1590.189,1
0.050000,8,34,5,200,5003326,bmps,32,-0.008629823305120254,1592.318,1
0.150000,8,34,1,200,1004326,bmps,32,-0.03696234405493627,895.274,1
0.110000,8,34,0,200,3926,bmps,32,-0.04282057247773752,1593.586,1
0.110000,8,34,5,200,5003926,bmps,32,-0.06453358574695153,1593.909,1
0.050000,8,34,3,200,3003326,bmps,32,-0.0112434164498452,1604.191,1
0.150000,8,34,2,200,2004326,bmps,32,-0.04632922073486426,901.447,1
0.150000,8,34,3,200,3004326,bmps,32,-0.08260982829551906,886.629,1
0.110000,8,34,2,200,2003926,bmps,32,-0.04433338736978257,1629.337,1
0.110000,8,34,4,200,4003926,bmps,32,-0.03333392144231343,1629.901,1
0.110000,10,42,4,200,4004126,bmps,32,-0.1405968913929148,1632.430,1
0.110000,8,34,3,200,3003926,bmps,32,-0.07095641622962466,1705.087,1
0.110000,10,42,8,200,8004126,bmps,32,0.01457813487493315,1734.312,1
0.110000,8,34,9,200,9003926,bmps,32,-0.02908482383799508,1805.405,1
0.110000,8,34,8,200,8003926,bmps,32,-0.03811403298581073,1863.794,1
0.110000,8,34,7,200,7003926,bmps,32,-0.09510988286635222,1874.922,1
0.150000,8,34,5,200,5004326,bmps,32,-0.05171711773809193,1142.643,1
0.150000,8,34,4,200,4004326,bmps,32,-0.05154156528109837,1199.447,1
0.150000,8,34,6,200,6004326,bmps,32,-0.05188027702283577,1199.217,1
0.150000,8,34,7,200,7004326,bmps,32,-0.05233057186293351,1199.762,1
