p,r,seed,cmi,method,L,num_samples,max_bond,elapsed_sec
0.050000,1,2626,0.07943728776981705,exact,6,5000,,60.456
0.050000,2,2726,0.03149572777480555,exact,10,5000,,199.982
0.050000,3,2826,0.01984039579738011,exact,14,5000,,505.098
0.050000,4,2926,0.007328019865600809,bmps,18,5000,16,530.161
0.050000,5,3026,0.006002235164555832,bmps,22,5000,16,866.169
0.050000,6,3126,0.005319826922109317,bmps,26,5000,16,1296.492
0.110000,1,3226,0.03149999673632067,exact,6,5000,,61.513
0.110000,2,3326,0.02589997536938726,exact,10,5000,,197.365
0.110000,3,3426,0.01807791458214842,exact,14,5000,,505.419
0.110000,4,3526,0.01101074119144769,bmps,18,5000,16,557.631
0.110000,5,3626,-0.002486375680951352,bmps,22,500,32,390.939
0.110000,6,3726,-0.0002104665682219931,bmps,26,500,32,609.701
0.150000,1,3626,0.00992485829786709,exact,6,5000,,60.507
0.150000,2,3726,0.002730639820737393,exact,10,5000,,198.948
0.150000,3,3826,0.002365868199157819,exact,14,5000,,507.072
0.150000,4,3926,-0.004780584313869427,bmps,18,5000,16,569.222
0.150000,5,4026,-0.002913857954343115,bmps,22,500,32,398.737
0.150000,6,4126,-0.02050457571649264,bmps,26,500,32,620.138
