run_id,L,n,k,code_seed,train_seeds,n_train,er,e_model,n_type,partition_axis,cut,n_points,MI,MI_std_across_train_seeds,MI_min,MI_max,bootstrap_std_mean,source_type,source_path,include_in_recommended_fit,notes
p8_made_even,4,32,2,0,,,0.05,dep,made,x,2,1,0.823137283,0.000000000,0.823137283,0.823137283,0.030570288,historical_tracked_summary,net/mi_scaling/p8_made_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_even,4,32,2,0,,,0.05,dep,made,x,2,1,1.054482937,0.000000000,1.054482937,1.054482937,0.030064136,historical_tracked_summary,net/mi_scaling/p8_made_plateau_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_long_468,4,32,2,0,,,0.05,dep,made,x,2,1,1.074159622,0.000000000,1.074159622,1.074159622,0.021748480,historical_tracked_summary,net/mi_scaling/p8_made_plateau_long_468/mi_vs_L.json,yes,recommended fit point; source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_longmix_even,4,32,2,0,,,0.05,dep,made,x,2,1,1.074159622,0.000000000,1.074159622,1.074159622,0.021748480,historical_tracked_summary,net/mi_scaling/p8_made_plateau_longmix_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history; duplicates long_468 values for L=4/6/8 and 40k_eval values for L=10/12
p8_made_even,6,72,2,0,,,0.05,dep,made,x,3,1,1.076084137,0.000000000,1.076084137,1.076084137,0.044164246,historical_tracked_summary,net/mi_scaling/p8_made_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_even,6,72,2,0,,,0.05,dep,made,x,3,1,1.739309311,0.000000000,1.739309311,1.739309311,0.041863226,historical_tracked_summary,net/mi_scaling/p8_made_plateau_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_long_468,6,72,2,0,,,0.05,dep,made,x,3,1,1.513965607,0.000000000,1.513965607,1.513965607,0.032413278,historical_tracked_summary,net/mi_scaling/p8_made_plateau_long_468/mi_vs_L.json,yes,recommended fit point; source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_plateau_longmix_even,6,72,2,0,,,0.05,dep,made,x,3,1,1.513965607,0.000000000,1.513965607,1.513965607,0.032413278,historical_tracked_summary,net/mi_scaling/p8_made_plateau_longmix_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history; duplicates long_468 values for L=4/6/8 and 40k_eval values for L=10/12
l8_retrain_probe,8,128,2,0,,,0.05,dep,made,x,4,1,1.939174652,0.000000000,1.939174652,1.939174652,0.045611927,historical_tracked_summary,net/mi_scaling/l8_retrain_probe/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
p8_made_even,8,128,2,0,,,0.05,dep,made,x,4,1,2.772041321,0.000000000,2.772041321,2.772041321,0.067041551,historical_tracked_summary,net/mi_scaling/p8_made_even/mi_vs_L.json,no,source file is deleted in working tree; value recovered from pre-cleanup tracked history
