p,model,window,fit_mode,kept_r,points,parameter_name,parameter,intercept,r2
0.110000,power,r1to6,unweighted,"1,2,3,4,5,6",6,alpha,0.7655510577482777,-3.421906974578922,0.7075919791115151
0.110000,power,r1to6,weighted,"1,2,3,4,5,6",6,alpha,0.4902784652938009,-3.501854655449275,0.4536353675819803
0.110000,power,r2to6,unweighted,"2,3,4,5,6",5,alpha,1.355096307643081,-2.578715940664511,0.911782371292378
0.110000,power,r2to6,weighted,"2,3,4,5,6",5,alpha,1.150092039577034,-2.778653385260017,0.8748345522044874
0.110000,power,r3to6,unweighted,"3,4,5,6",4,alpha,1.535793978784855,-2.297266729847387,0.8402563503022649
0.110000,power,r3to6,weighted,"3,4,5,6",4,alpha,1.236409371500494,-2.655829734145223,0.7725698573527018
0.110000,power,r1to5,unweighted,"1,2,3,4,5",5,alpha,0.541234194648465,-3.549815180917978,0.6787135735884964
0.110000,power,r1to5,weighted,"1,2,3,4,5",5,alpha,0.3853758501557147,-3.551613493476529,0.4665515850855622
0.150000,exp,r1to6,unweighted,"1,2,3,4,5,6",6,b,-0.2784445210934013,-5.115095798397663,0.5320861980214489
0.150000,exp,r1to6,weighted,"1,2,3,4,5,6",6,b,-0.2449587766130339,-4.861759491298532,0.2013335648942552
0.150000,exp,r2to6,unweighted,"2,3,4,5,6",5,b,-0.2400894808926826,-5.294085986001016,0.3321852794849538
0.150000,exp,r2to6,weighted,"2,3,4,5,6",5,b,-0.3056961915000561,-4.594486293539362,-0.2433134118833153
0.150000,exp,r3to6,unweighted,"3,4,5,6",4,b,-0.1724838700042545,-5.632114040443159,0.1178820182921051
0.150000,exp,r3to6,weighted,"3,4,5,6",4,b,-0.4479256276463505,-3.948501085778937,-0.8079788987900267
0.150000,exp,r1to5,unweighted,"1,2,3,4,5",5,b,-0.3066281610709337,-5.049333971783425,0.4445774415941832
0.150000,exp,r1to5,weighted,"1,2,3,4,5",5,b,-0.1724020609624914,-5.080422826883894,0.03293317284211705
