p,model,window,fit_mode,kept_r,points,parameter_name,parameter,intercept,r2
0.110000,power,r1to6,unweighted,"1,2,3,4,5,6",6,alpha,0.5195794629852689,-3.538241839700954,0.6114800823368725
0.110000,power,r1to6,weighted,"1,2,3,4,5,6",6,alpha,0.3898418008584937,-3.544721204131961,0.4592267701253261
0.110000,power,r2to6,unweighted,"2,3,4,5,6",5,alpha,0.9057233752332997,-2.985963478258349,0.7499605547541208
0.110000,power,r2to6,weighted,"2,3,4,5,6",5,alpha,0.7977132337841458,-3.052893117870266,0.7049521306675658
0.110000,power,r3to6,unweighted,"3,4,5,6",4,alpha,0.8081728830505869,-3.137905165531704,0.4643061317305681
0.110000,power,r3to6,weighted,"3,4,5,6",4,alpha,0.4125652386725617,-3.628747472341542,0.2645642772182315
0.110000,power,r1to5,unweighted,"1,2,3,4,5",5,alpha,0.3203731778356637,-3.651831688778039,0.5532085557563426
0.110000,power,r1to5,weighted,"1,2,3,4,5",5,alpha,0.3121386184792757,-3.583093360555354,0.4549031437592075
0.150000,exp,r1to6,unweighted,"1,2,3,4,5,6",6,b,-0.2139324944809273,-5.215447839794847,0.4413852452137869
0.150000,exp,r1to6,weighted,"1,2,3,4,5,6",6,b,-0.2012374887520197,-4.965674711367869,0.153624446989198
0.150000,exp,r2to6,unweighted,"2,3,4,5,6",5,b,-0.1648254498447966,-5.444614048096789,0.2210438543558453
0.150000,exp,r2to6,weighted,"2,3,4,5,6",5,b,-0.2370141060815956,-4.805637717795888,-0.3203396554603986
0.150000,exp,r3to6,unweighted,"3,4,5,6",4,b,-0.09721983895636828,-5.78264210253893,0.04928249030091203
0.150000,exp,r3to6,weighted,"3,4,5,6",4,b,-0.3487593386668652,-4.291319652348339,-0.8194131697895841
0.150000,exp,r1to5,unweighted,"1,2,3,4,5",5,b,-0.1561000989751616,-5.350390095974968,0.2066285236335321
0.150000,exp,r1to5,weighted,"1,2,3,4,5",5,b,-0.1159465780214173,-5.22977276084352,-0.05345934060980606
