p,model,window,fit_mode,kept_r,points,parameter_name,parameter,intercept,r2
0.110000,power,r1to6,unweighted,"1,2,3,4,5,6",6,alpha,0.5195794629852689,-3.538241839700954,0.6114800823368725
0.110000,power,r1to6,weighted,"1,2,3,4,5,6",6,alpha,0.3898418008584937,-3.544721204131961,0.4592267701253261
0.110000,power,r2to6,unweighted,"2,3,4,5,6",5,alpha,0.9057233752332997,-2.985963478258349,0.7499605547541208
0.110000,power,r2to6,weighted,"2,3,4,5,6",5,alpha,0.7977132337841458,-3.052893117870266,0.7049521306675658
0.110000,power,r3to6,unweighted,"3,4,5,6",4,alpha,0.8081728830505869,-3.137905165531704,0.4643061317305681
0.110000,power,r3to6,weighted,"3,4,5,6",4,alpha,0.4125652386725617,-3.628747472341542,0.2645642772182315
0.110000,power,r1to5,unweighted,"1,2,3,4,5",5,alpha,0.3203731778356637,-3.651831688778039,0.5532085557563426
0.110000,power,r1to5,weighted,"1,2,3,4,5",5,alpha,0.3121386184792757,-3.583093360555354,0.4549031437592075
0.150000,exp,r1to6,unweighted,"1,2,3,4,5,6",6,b,-0.3111862435725465,-5.064164230096774,0.5159728681959177
0.150000,exp,r1to6,weighted,"1,2,3,4,5,6",6,b,-0.1958994512792341,-4.978361971187076,0.007773100855518078
0.150000,exp,r2to6,unweighted,"2,3,4,5,6",5,b,-0.2782881571183521,-5.217688633549677,0.3311122857890901
0.150000,exp,r2to6,weighted,"2,3,4,5,6",5,b,-0.2330909841867393,-4.817698690764074,-0.3986910955241618
0.150000,exp,r3to6,unweighted,"3,4,5,6",4,b,-0.2106825462299238,-5.555716687991822,0.1274978758504958
0.150000,exp,r3to6,weighted,"3,4,5,6",4,b,-0.3576467384029481,-4.260595848226924,-0.8575712219956775
0.150000,exp,r1to5,unweighted,"1,2,3,4,5",5,b,-0.3830255135222729,-4.896539266880746,0.4996223613942082
0.150000,exp,r1to5,weighted,"1,2,3,4,5",5,b,-0.0589294225054959,-5.380608569293818,-0.2639589734934342
